uID,variable1,variable2,.id,source,ross.s2.1_1_TEXT,ross.s2.2,sex,Source.Global,Source.Primary,Source.Secondary,Country,Location,Language,Weird,Execution,SubjectPool,Setting,Tablet,Pencil,StudyOrderN,IDiffOrderN,study.order,analysis.type,subset,case.include
3077,50,Court,ML2_Slate2_SpanishCosta_Rica_r_manually_recode_rosss21.csv,ulatina,50,2,2,ulatina,ulatina,ulatina,Costa Rica,"Universidad Latina de Costa Rica, Costa Rica",Spanish,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Zaval|Tversky|Zhong|Gray|Ross.Slate2|Norenzayan|Savani|Geissner|Tversky.Gati|Schwarz|Hsee|Knobe|Shafir|Risen|Hauser,ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood|ID: TIPI for Big-Five,5,Order,all,TRUE
3078,80,Court,ML2_Slate2_SpanishCosta_Rica_r_manually_recode_rosss21.csv,ulatina,80,2,2,ulatina,ulatina,ulatina,Costa Rica,"Universidad Latina de Costa Rica, Costa Rica",Spanish,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Tversky.Gati|Savani|Schwarz|Tversky|Ross.Slate2|Zhong|Hsee|Risen|Shafir|Geissner|Zaval|Knobe|Gray|Hauser|Norenzayan,ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Mood|ID: Cognitive reflection,5,Order,all,TRUE
3093,70,Court,ML2_Slate2_SpanishCosta_Rica_r_manually_recode_rosss21.csv,ulatina,70,2,2,ulatina,ulatina,ulatina,Costa Rica,"Universidad Latina de Costa Rica, Costa Rica",Spanish,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Hsee|Schwarz|Geissner|Ross.Slate2|Zhong|Gray|Shafir|Tversky|Zaval|Tversky.Gati|Knobe|Savani|Risen|Norenzayan,ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Mood,5,Order,all,TRUE
3112,85,Pay,ML2_Slate2_SpanishCosta_Rica_r_manually_recode_rosss21.csv,ulatina,85,1,1,ulatina,ulatina,ulatina,Costa Rica,"Universidad Latina de Costa Rica, Costa Rica",Spanish,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Savani|Norenzayan|Schwarz|Geissner|Ross.Slate2|Risen|Knobe|Gray|Zhong|Tversky|Tversky.Gati|Shafir|Zaval|Hsee|Hauser,ID: Global self-esteem SISE|ID: Mood|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Subjective wellbeing,5,Order,all,TRUE
3120,0,Court,ML2_Slate2_SpanishCosta_Rica_r_manually_recode_rosss21.csv,ulatina,0,2,1,ulatina,ulatina,ulatina,Costa Rica,"Universidad Latina de Costa Rica, Costa Rica",Spanish,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Zhong|Tversky.Gati|Shafir|Geissner|Ross.Slate2|Schwarz|Norenzayan|Risen|Zaval|Hsee|Tversky|Knobe|Gray|Savani|Hauser,ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Mood|ID: TIPI for Big-Five|ID: Cognitive reflection,5,Order,all,TRUE
3147,60,Court,ML2_Slate2_SpanishSpain_UNED_r_manually_recode_rosss21.csv,uned,60,2,2,uned,uned,uned,Spain,"UNED, Spain",Spanish,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Schwarz|Knobe|Savani|Shafir|Ross.Slate2|Tversky.Gati|Geissner|Risen|Hsee|Gray|Zhong|Zaval|Tversky|Hauser|Norenzayan,ID: Mood|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Subjective wellbeing|ID: Global self-esteem SISE,5,Order,all,TRUE
3171,20,Pay,ML2_Slate2_SpanishSpain_UNED_r_manually_recode_rosss21.csv,uned,20,1,2,uned,uned,uned,Spain,"UNED, Spain",Spanish,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Geissner|Norenzayan|Zhong|Ross.Slate2|Tversky|Zaval|Hsee|Savani|Risen|Knobe|Tversky.Gati|Schwarz|Shafir|Gray,ID: Mood|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection,5,Order,all,TRUE
3185,70,Pay,ML2_Slate2_SpanishSpain_UNED_r_manually_recode_rosss21.csv,uned,70,1,2,uned,uned,uned,Spain,"UNED, Spain",Spanish,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Zhong|Zaval|Shafir|Norenzayan|Ross.Slate2|Schwarz|Savani|Gray|Geissner|Hauser|Tversky.Gati|Knobe|Risen|Tversky|Hsee,ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Mood|ID: Subjective wellbeing|ID: Global self-esteem SISE,5,Order,all,TRUE
3199,60,Pay,ML2_Slate2_SpanishSpain_UNED_r_manually_recode_rosss21.csv,uned,60,1,2,uned,uned,uned,Spain,"UNED, Spain",Spanish,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Savani|Gray|Knobe|Geissner|Ross.Slate2|Shafir|Tversky|Zaval|Schwarz|Norenzayan|Hsee|Hauser|Tversky.Gati|Risen|Zhong,ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood|ID: TIPI for Big-Five,5,Order,all,TRUE
3216,40,Pay,ML2_Slate2_SpanishSpain_UNED_r_manually_recode_rosss21.csv,uned,40,1,2,uned,uned,uned,Spain,"UNED, Spain",Spanish,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Savani|Gray|Zaval|Schwarz|Ross.Slate2|Hsee|Shafir|Geissner|Tversky|Knobe|Norenzayan|Tversky.Gati|Risen|Hauser|Zhong,ID: Mood|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection,5,Order,all,TRUE
3328,90,Pay,ML2_Slate2_Traditional_ChineseHong_Kong_r.csv,ouhk,90,1,4,ouhk,ouhk,ouhk,"Hong Kong, China",Open University of Hong Kong,Chinese (traditional),0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hsee|Shafir|Schwarz|Risen|Ross.Slate2|Hauser|Geissner|Knobe|Norenzayan|Zhong|Gray|Savani|Zaval|Tversky|Tversky.Gati,ID: TIPI for Big-Five|ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Global self-esteem SISE,5,Order,all,TRUE
3336,50,Court,ML2_Slate2_Traditional_ChineseHong_Kong_r.csv,ouhk,50,2,2,ouhk,ouhk,ouhk,"Hong Kong, China",Open University of Hong Kong,Chinese (traditional),0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Zaval|Schwarz|Zhong|Geissner|Ross.Slate2|Risen|Tversky|Savani|Shafir|Knobe|Hauser|Hsee|Tversky.Gati|Norenzayan|Gray,ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five,5,Order,all,TRUE
3386,80,Pay,ML2_Slate2_Traditional_ChineseHong_Kong_r.csv,ouhk,80,1,1,ouhk,ouhk,ouhk,"Hong Kong, China",Open University of Hong Kong,Chinese (traditional),0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Norenzayan|Schwarz|Savani|Knobe|Ross.Slate2|Shafir|Zaval|Tversky|Zhong|Gray|Risen|Hauser|Tversky.Gati|Geissner|Hsee,ID: Subjective wellbeing|ID: Mood|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Global self-esteem SISE,5,Order,all,TRUE
3427,60,Pay,ML2_Slate2_Turkish_online_DEPLOY__metu_rmanuallyrenamerosss21_text.csv,metu,60,1,1,metu,metu,metu,Turkey,"Middle East Technical University, Ankara, Turkey",Turkish,0,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hsee|Norenzayan|Hauser|Geissner|Ross.Slate2|Tversky.Gati|Zhong|Knobe|Schwarz|Gray|Savani|Zaval|Risen|Tversky|Shafir,ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Subjective wellbeing|ID: Mood,5,Order,all,TRUE
3428,80,Pay,ML2_Slate2_Turkish_online_DEPLOY__metu_rmanuallyrenamerosss21_text.csv,metu,80,1,1,metu,metu,metu,Turkey,"Middle East Technical University, Ankara, Turkey",Turkish,0,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Savani|Zhong|Zaval|Hsee|Ross.Slate2|Tversky|Knobe|Gray|Hauser|Schwarz|Geissner|Tversky.Gati|Norenzayan|Shafir|Risen,ID: Mood|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Subjective wellbeing,5,Order,all,TRUE
3444,30,Court,ML2_Slate2_Turkish_online_DEPLOY__metu_rmanuallyrenamerosss21_text.csv,metu,30,2,2,metu,metu,metu,Turkey,"Middle East Technical University, Ankara, Turkey",Turkish,0,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Risen|Norenzayan|Schwarz|Tversky.Gati|Ross.Slate2|Gray|Zaval|Shafir|Hsee|Savani|Knobe|Zhong|Tversky|Geissner|Hauser,ID: Cognitive reflection|ID: Subjective wellbeing|ID: Mood|ID: TIPI for Big-Five|ID: Global self-esteem SISE,5,Order,all,TRUE
3500,95,Pay,ML2_Slate2_Turkish_online_DEPLOY__metu_rmanuallyrenamerosss21_text.csv,metu,95,1,1,metu,metu,metu,Turkey,"Middle East Technical University, Ankara, Turkey",Turkish,0,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Savani|Hsee|Tversky|Norenzayan|Ross.Slate2|Tversky.Gati|Knobe|Geissner|Zaval|Gray|Schwarz|Zhong|Shafir|Risen|Hauser,ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Mood|ID: Subjective wellbeing|ID: TIPI for Big-Five,5,Order,all,TRUE
3518,40,Court,ML2_Slate2_UKEng_Inlab_DEPLOY__salford_r.csv,salford,40,2,2,salford,salford,salford,UK,"University of Salford, Manchester, UK",English,1,,No,In a classroom,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Tversky.Gati|Gray|Knobe|Hauser|Ross.Slate2|Shafir|Hsee|Schwarz|Savani|Zhong|Norenzayan|Geissner|Risen|Tversky|Zaval,ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood|ID: Global self-esteem SISE|ID: Cognitive reflection,5,Order,all,TRUE
3522,80,Court,ML2_Slate2_UKEng_Inlab_DEPLOY__salford_r.csv,salford,80,2,1,salford,salford,salford,UK,"University of Salford, Manchester, UK",English,1,,No,In a classroom,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Gray|Schwarz|Zhong|Geissner|Ross.Slate2|Hauser|Savani|Tversky.Gati|Hsee|Shafir|Knobe|Zaval|Norenzayan|Tversky|Risen,ID: Mood|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Subjective wellbeing|ID: TIPI for Big-Five,5,Order,all,TRUE
3527,75,Pay,ML2_Slate2_UKEng_Inlab_DEPLOY__salford_r.csv,salford,75,1,2,salford,salford,salford,UK,"University of Salford, Manchester, UK",English,1,,No,In a classroom,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Gray|Tversky|Shafir|Risen|Ross.Slate2|Tversky.Gati|Schwarz|Knobe|Savani|Hauser|Norenzayan|Zaval|Hsee|Zhong|Geissner,ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Mood|ID: Subjective wellbeing|ID: Global self-esteem SISE,5,Order,all,TRUE
3528,50,Court,ML2_Slate2_UKEng_Inlab_DEPLOY__salford_r.csv,salford,50,2,2,salford,salford,salford,UK,"University of Salford, Manchester, UK",English,1,,No,In a classroom,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Tversky|Tversky.Gati|Gray|Norenzayan|Ross.Slate2|Savani|Hauser|Hsee|Shafir|Risen|Schwarz|Geissner|Zaval|Knobe|Zhong,ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood|ID: Global self-esteem SISE,5,Order,all,TRUE
3537,85,Pay,ML2_Slate2_UKEng_Inlab_DEPLOY__salford_r.csv,salford,85,1,2,salford,salford,salford,UK,"University of Salford, Manchester, UK",English,1,,No,In a classroom,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Zhong|Zaval|Shafir|Schwarz|Ross.Slate2|Geissner|Hauser|Gray|Risen|Knobe|Tversky.Gati|Norenzayan|Hsee|Tversky|Savani,ID: Mood|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: TIPI for Big-Five,5,Order,all,TRUE
3586,95,Pay,ML2_Slate2_UKEng_Inlab_DEPLOY__salford_r.csv,salford,95,1,2,salford,salford,salford,UK,"University of Salford, Manchester, UK",English,1,,No,In a classroom,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Knobe|Hauser|Schwarz|Risen|Ross.Slate2|Zaval|Geissner|Gray|Savani|Zhong|Tversky|Tversky.Gati|Shafir|Norenzayan|Hsee,ID: Mood|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing,5,Order,all,TRUE
3603,80,Pay,ML2_Slate2_UKEng_Inlab_DEPLOY__salford_r.csv,salford,80,1,2,salford,salford,salford,UK,"University of Salford, Manchester, UK",English,1,,No,In a classroom,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Zaval|Tversky|Risen|Zhong|Ross.Slate2|Hsee|Hauser|Geissner|Gray|Norenzayan|Tversky.Gati|Knobe|Schwarz|Shafir|Savani,ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood,5,Order,all,TRUE
3605,90,Pay,ML2_Slate2_UKEng_Inlab_DEPLOY__salford_r.csv,salford,90,1,1,salford,salford,salford,UK,"University of Salford, Manchester, UK",English,1,,No,In a classroom,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Zhong|Savani|Hsee|Tversky.Gati|Ross.Slate2|Gray|Schwarz|Tversky|Norenzayan|Geissner|Shafir|Hauser|Risen|Zaval|Knobe,ID: Mood|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Cognitive reflection,5,Order,all,TRUE
3610,30,Court,ML2_Slate2_UKEng_Inlab_DEPLOY__salford_r.csv,salford,30,2,2,salford,salford,salford,UK,"University of Salford, Manchester, UK",English,1,,No,In a classroom,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Zhong|Zaval|Geissner|Hauser|Ross.Slate2|Shafir|Schwarz|Risen|Knobe|Gray|Savani|Hsee|Tversky|Norenzayan|Tversky.Gati,ID: Cognitive reflection|ID: Mood|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Global self-esteem SISE,5,Order,all,TRUE
3618,75,Court,ML2_Slate2_UKEng_Inlab_DEPLOY_r.csv,northumbria,75,2,1,northumbria,northumbria,northumbria,UK,"Department of Psychology, Northumbria University, Newcastle upon Tyne, UK",English,1,,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Tversky|Geissner|Tversky.Gati|Hauser|Ross.Slate2|Gray|Hsee|Zhong|Zaval|Risen|Shafir|Knobe|Norenzayan|Schwarz|Savani,ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood,5,Order,all,TRUE
3637,90,Pay,ML2_Slate2_UKEng_Inlab_DEPLOY_r.csv,northumbria,90,1,1,northumbria,northumbria,northumbria,UK,"Department of Psychology, Northumbria University, Newcastle upon Tyne, UK",English,1,,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Tversky|Hsee|Zaval|Geissner|Ross.Slate2|Risen|Zhong|Schwarz|Tversky.Gati|Gray|Shafir|Knobe|Hauser|Norenzayan|Savani,ID: Global self-esteem SISE|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Mood,5,Order,all,TRUE
3671,60,Pay,ML2_Slate2_UKEng_Inlab_DEPLOY_r.csv,northumbria,60,1,2,northumbria,northumbria,northumbria,UK,"Department of Psychology, Northumbria University, Newcastle upon Tyne, UK",English,1,,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Schwarz|Zhong|Gray|Tversky.Gati|Ross.Slate2|Tversky|Risen|Shafir|Geissner|Hauser|Zaval|Hsee|Savani|Norenzayan|Knobe,ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Mood|ID: Cognitive reflection,5,Order,all,TRUE
3688,80,Court,ML2_Slate2_UKEng_Inlab_DEPLOY_r.csv,northumbria,80,2,1,northumbria,northumbria,northumbria,UK,"Department of Psychology, Northumbria University, Newcastle upon Tyne, UK",English,1,,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Tversky|Zaval|Norenzayan|Shafir|Ross.Slate2|Hauser|Tversky.Gati|Savani|Gray|Zhong|Schwarz|Knobe|Geissner|Risen|Hsee,ID: TIPI for Big-Five|ID: Mood|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Cognitive reflection,5,Order,all,TRUE
3694,75,Pay,ML2_Slate2_UKEng_Inlab_DEPLOY_r.csv,northumbria,75,1,2,northumbria,northumbria,northumbria,UK,"Department of Psychology, Northumbria University, Newcastle upon Tyne, UK",English,1,,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Schwarz|Zhong|Norenzayan|Knobe|Ross.Slate2|Tversky.Gati|Hauser|Zaval|Hsee|Gray|Geissner|Risen|Savani|Shafir|Tversky,ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Mood,5,Order,all,TRUE
3714,90,Pay,ML2_Slate2_UKEng_Inlab_DEPLOY_r.csv,lse,90,1,2,lse,lse,lse,UK,"Department of Management, London School of Economics and Political Science, London WC2A 2AE, UK",English,1,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Geissner|Shafir|Risen|Knobe|Ross.Slate2|Hsee|Tversky|Savani|Zhong|Schwarz|Tversky.Gati|Hauser|Norenzayan|Gray|Zaval,ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Subjective wellbeing|ID: Mood,5,Order,all,TRUE
3720,10,Court,ML2_Slate2_UKEng_Inlab_DEPLOY_r.csv,lse,10,2,1,lse,lse,lse,UK,"Department of Management, London School of Economics and Political Science, London WC2A 2AE, UK",English,1,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Knobe|Schwarz|Hsee|Zhong|Ross.Slate2|Geissner|Norenzayan|Tversky.Gati|Zaval|Shafir|Risen|Hauser|Gray|Tversky|Savani,ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Mood|ID: Subjective wellbeing|ID: TIPI for Big-Five,5,Order,all,TRUE
3730,70,Court,ML2_Slate2_UKEng_Inlab_DEPLOY_r.csv,lse,70,2,2,lse,lse,lse,UK,"Department of Management, London School of Economics and Political Science, London WC2A 2AE, UK",English,1,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Tversky|Schwarz|Gray|Shafir|Ross.Slate2|Zaval|Hsee|Knobe|Savani|Risen|Hauser|Zhong|Geissner|Norenzayan|Tversky.Gati,ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood|ID: Cognitive reflection|ID: Global self-esteem SISE,5,Order,all,TRUE
3740,85,Pay,ML2_Slate2_UKEng_Inlab_DEPLOY_r.csv,lse,85,1,2,lse,lse,lse,UK,"Department of Management, London School of Economics and Political Science, London WC2A 2AE, UK",English,1,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Schwarz|Zhong|Shafir|Tversky|Ross.Slate2|Zaval|Gray|Hauser|Norenzayan|Risen|Knobe|Geissner|Tversky.Gati|Savani|Hsee,ID: Mood|ID: Cognitive reflection|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: TIPI for Big-Five,5,Order,all,TRUE
3754,20,Pay,ML2_Slate2_UKEng_Inlab_DEPLOY_r.csv,lse,20,1,2,lse,lse,lse,UK,"Department of Management, London School of Economics and Political Science, London WC2A 2AE, UK",English,1,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Risen|Shafir|Zhong|Norenzayan|Ross.Slate2|Tversky.Gati|Hsee|Savani|Zaval|Hauser|Tversky|Schwarz|Gray|Geissner|Knobe,ID: TIPI for Big-Five|ID: Mood|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Cognitive reflection,5,Order,all,TRUE
3759,40,Court,ML2_Slate2_UKEng_Inlab_DEPLOY_r.csv,lse,40,2,1,lse,lse,lse,UK,"Department of Management, London School of Economics and Political Science, London WC2A 2AE, UK",English,1,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Zaval|Hauser|Tversky|Hsee|Ross.Slate2|Zhong|Schwarz|Geissner|Norenzayan|Tversky.Gati|Shafir|Risen|Gray|Knobe|Savani,ID: Global self-esteem SISE|ID: Mood|ID: Cognitive reflection|ID: Subjective wellbeing|ID: TIPI for Big-Five,5,Order,all,TRUE
3767,75,Court,ML2_Slate2_UKEng_Inlab_DEPLOY_r.csv,lse,75,2,2,lse,lse,lse,UK,"Department of Management, London School of Economics and Political Science, London WC2A 2AE, UK",English,1,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Tversky|Gray|Norenzayan|Schwarz|Ross.Slate2|Shafir|Knobe|Hsee|Zhong|Hauser|Geissner|Tversky.Gati|Risen|Savani|Zaval,ID: Cognitive reflection|ID: Mood|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: TIPI for Big-Five,5,Order,all,TRUE
3776,30,Court,ML2_Slate2_UKEng_Inlab_DEPLOY_r.csv,lse,30,2,2,lse,lse,lse,UK,"Department of Management, London School of Economics and Political Science, London WC2A 2AE, UK",English,1,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Risen|Zaval|Hsee|Geissner|Ross.Slate2|Hauser|Shafir|Knobe|Norenzayan|Savani|Zhong|Gray|Schwarz|Tversky|Tversky.Gati,ID: Mood|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: TIPI for Big-Five,5,Order,all,TRUE
3783,80,Court,ML2_Slate2_UKEng_Inlab_DEPLOY_r.csv,lse,80,2,2,lse,lse,lse,UK,"Department of Management, London School of Economics and Political Science, London WC2A 2AE, UK",English,1,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hsee|Shafir|Tversky|Norenzayan|Ross.Slate2|Savani|Hauser|Schwarz|Zhong|Tversky.Gati|Risen|Zaval|Geissner|Gray|Knobe,ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Mood|ID: Subjective wellbeing,5,Order,all,TRUE
3797,90,Court,ML2_Slate2_UKEng_Inlab_DEPLOY_r.csv,lse,90,2,2,lse,lse,lse,UK,"Department of Management, London School of Economics and Political Science, London WC2A 2AE, UK",English,1,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Risen|Savani|Geissner|Ross.Slate2|Tversky|Norenzayan|Shafir|Tversky.Gati|Knobe|Hsee|Gray|Zhong|Zaval|Schwarz,ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Mood|ID: Subjective wellbeing,5,Order,all,TRUE
3798,90,Court,ML2_Slate2_UKEng_Inlab_DEPLOY_r.csv,lse,90,2,1,lse,lse,lse,UK,"Department of Management, London School of Economics and Political Science, London WC2A 2AE, UK",English,1,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Zaval|Geissner|Savani|Shafir|Ross.Slate2|Zhong|Schwarz|Knobe|Tversky|Hsee|Gray|Hauser|Risen|Tversky.Gati|Norenzayan,ID: TIPI for Big-Five|ID: Mood|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Subjective wellbeing,5,Order,all,TRUE
3815,75,Court,ML2_Slate2_USEng_DEPLOY__hawaiion_r.csv,hawaiion,75,2,2,hawaiion,hawaiion,hawaiion,USA,"University of Hawaii, Honolulu, HI",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Gray|Hauser|Risen|Norenzayan|Ross.Slate2|Shafir|Schwarz|Tversky.Gati|Zhong|Tversky|Savani|Zaval|Hsee|Knobe|Geissner,ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Mood|ID: Global self-esteem SISE|ID: Cognitive reflection,5,Order,all,TRUE
3821,60,Court,ML2_Slate2_USEng_DEPLOY__hawaiion_r.csv,hawaiion,60,2,2,hawaiion,hawaiion,hawaiion,USA,"University of Hawaii, Honolulu, HI",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Tversky|Tversky.Gati|Schwarz|Zhong|Ross.Slate2|Geissner|Hauser|Zaval|Gray|Shafir|Norenzayan|Knobe|Savani|Hsee|Risen,ID: TIPI for Big-Five|ID: Mood|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection,5,Order,all,TRUE
3828,30,Pay,ML2_Slate2_USEng_DEPLOY__hawaiion_r.csv,hawaiion,30,1,2,hawaiion,hawaiion,hawaiion,USA,"University of Hawaii, Honolulu, HI",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Gray|Hauser|Norenzayan|Tversky.Gati|Ross.Slate2|Tversky|Shafir|Risen|Hsee|Geissner|Schwarz|Zaval|Knobe|Savani|Zhong,ID: Mood|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Subjective wellbeing|ID: TIPI for Big-Five,5,Order,all,TRUE
3837,50,Court,ML2_Slate2_USEng_DEPLOY__hawaiion_r.csv,hawaiion,50,2,2,hawaiion,hawaiion,hawaiion,USA,"University of Hawaii, Honolulu, HI",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Tversky|Risen|Geissner|Zhong|Ross.Slate2|Savani|Schwarz|Hsee|Gray|Knobe|Zaval|Tversky.Gati|Hauser|Shafir|Norenzayan,ID: TIPI for Big-Five|ID: Mood|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection,5,Order,all,TRUE
3864,85,Pay,ML2_Slate2_USEng_DEPLOY__hawaiion_r.csv,hawaiion,85,1,2,hawaiion,hawaiion,hawaiion,USA,"University of Hawaii, Honolulu, HI",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Gray|Knobe|Schwarz|Norenzayan|Ross.Slate2|Shafir|Zaval|Tversky|Hsee|Zhong|Tversky.Gati|Geissner|Savani|Risen|Hauser,ID: Cognitive reflection|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood|ID: Global self-esteem SISE,5,Order,all,TRUE
