"","ResponseId","referrer","IDEA8_identity","Stress","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"3113","R_2bqd5qPMsMyEsWp","swansea",3.5,3.4,"female",21,"liberal (2)","strongly democrat (1)",NA,"60-79,999","no","Caucasian","Swansea","Graduate Education",NA
"3114","R_e8rGzry75tktBqt","swansea",3.5,3.4,"female",20,"liberal (2)","democrat (2)",NA,"not say","no","Caucasian","Swansea","Graduate Education",NA
"3115","R_0SMFGU1spnVkY4Z","swansea",3,2.8,"female",20,"apolitical","independent",NA,"not say","no","Caucasian","Swansea","Graduate Education",NA
"3116","R_2PbzAtGS9chgtE5","swansea",4,3,"female",19,"apolitical","independent",NA,"not say","no","Caucasian","Swansea","Graduate Education",NA
"3117","R_brRPtq8zCn2ONFj","swansea",3,3.4,"female",19,"apolitical","middle (4)",NA,"40-59,999","no","Other race/ethincity","Swansea","Graduate Education",NA
"3118","R_DohjT555aglFdgR","swansea",3,1.8,"male",29,"somewhat liberal (3)","somewhat democrat (3)",NA,"under20,000","no","Caucasian","","Graduate Education",NA
"3119","R_NWQVbQ0NSCs63a9","swansea",4,3,"female",23,"apolitical","independent",NA,"not say","no","Caucasian","Swansea","Graduate Education",NA
"3120","R_9ZHUe218AeH1HN3","swansea",2.5,3.3,"male",20,"apolitical","middle (4)",NA,"under20,000","no","Caucasian","Swansea","Graduate Education",NA
"3121","R_egtDtJy5XsE5rNj","swansea",3,4.1,"female",19,"apolitical","democrat (2)",NA,"not say","no","Caucasian","Swansea","Graduate Education",NA
"3122","R_6WmrTiKCpsqZT4F","swansea",4,3,"female",19,"apolitical","democrat (2)",NA,"not say","no","Caucasian","","Graduate Education",NA
"3123","R_emoti2XniZuE3Tn","swansea",3.5,2.3,"male",20,"apolitical","independent",NA,"20-39,999","no","Other race/ethincity","Swansea","Graduate Education",NA
"3124","R_3dX8yeUYzJUwz9r","swansea",3,3.4,"female",19,"somewhat conservative (5)","somewhat democrat (3)",NA,"60-79,999","no","Caucasian","Swansea","Graduate Education",NA
"3125","R_6JpcZFsR9H3Vh9X","swansea",3,3,"other",19,"center (4)","middle (4)",NA,"under20,000","no","Caucasian","Swansea","Graduate Education",NA
"3126","R_2vYvGc1Nfp1VzAn","swansea",4,3.2,"female",NA,"somewhat liberal (3)","independent",NA,"not say","no","Caucasian","Swansea","Graduate Education",NA
"3127","R_33ll9Q8YNCQlRig","swansea",3,3.2,"female",21,"apolitical","independent",NA,"under20,000","no","Caucasian","Swansea","Graduate Education",NA
"3128","R_d45ErdaQ8N3IsXb","swansea",2.5,3,"female",19,"liberal (2)","independent",NA,"20-39,999","no","Other race/ethincity","Swansea","Graduate Education",NA
"3129","R_2xxifLWEHcVsq9Z","swansea",3,2.8,"male",19,"apolitical","democrat (2)",NA,"under20,000","no","Caucasian","Swansea","Graduate Education",NA
"3130","R_2zY0LlGxAYa5Z1W","swansea",2.5,2.4,"female",19,"somewhat liberal (3)","democrat (2)",NA,"80-99,999","no","Caucasian","Swansea","Graduate Education",NA
"3131","R_1QAX3fq23TUxOTz","swansea",4,3.4,"male",22,"liberal (2)","strongly democrat (1)",NA,"under20,000","no","Caucasian","Swansea","Graduate Education",NA
