unique.id,study.id,study.slate,study.name,study.analysis,study.vars,study.vars.labels,study.cases.include,study.sites.include,study.global.include,study.primary.include,study.secondary.include,study.figure2.include,study.table1.include,study.table1.weird.split,stat.vars,stat.type,stat.test,stat.params,stat.ncp,stat.df,stat.p.value,orig.sample.nation,ori.sample.weird,ori.study.figure2.include,orig.stat.type,orig.test.alternative,orig.test.sample,orig.stat.df1,orig.stat.df2,orig.stat.n1,orig.stat.n2,orig.stat.N,orig.stat.estimate,orig.stat.estimate1,orig.stat.estimate2,orig.stat.ncp,orig.stat.ncp.ciL,orig.stat.ncp.ciU,orig.stat.p.value,orig.ES.d,orig.ES.d.ciL,orig.ES.d.ciU,orig.ES.r,orig.ES.r.ciL,orig.ES.r.ciU,orig.ES.cohensQ,orig.ES.cohensQ.ciL,orig.ES.cohensQ.ciU,comments,study.description,cohensQ
34,8,1,Inbar,Inbar.3c,"list(SameKiss=c('inba1.5','disg1.11','disg1.12','disg2.10','disg2.12','disg2.13'), DiffKiss=c('inba2.5','disg1.11','disg1.12','disg2.10','disg2.12','disg2.13'))","list(Condition=c('SameKiss','DiffKiss'))","list(each=c('Condition','X > 0'))",list(c('all')),1,0,1,0,0,0,varfun.Inbar.1,Z.f,"cor_test_fisherZ(r1=r2, r2=NULL, n1=N[2], n2=NULL, conf.level=stat.params$conf.level, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=NA, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,US,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Disgust & Homophobia (Inbar et al., 2009)",
35,8,1,Inbar,Inbar.4,"list(SameKiss=c('inba1.3'), DiffKiss=c('inba2.3'))","list(Condition=c('SameKiss','DiffKiss'))","list(each=c('Condition','X > 0'))",list(c('all')),1,0,1,0,0,0,varfun.Inbar.2,t,"t.test(x = SameKiss, y = DiffKiss, conf.level=stat.params$conf.level, var.equal = stat.params$var.equal, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=TRUE, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,US,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Disgust & Homophobia (Inbar et al., 2009)",
36,9,1,Critcher,Critcher.1,"list(P97=c('crit1.1'), P17=c('crit2.1'))","list(Condition=c('P97','P17'))","list(each=c('Condition','between(X,0,100)'))",list(c('all')),1,1,0,1,1,0,varfun.Critcher.1,t,"t.test(x = P97, y = P17, conf.level=stat.params$conf.level, var.equal = stat.params$var.equal, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=TRUE, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,US,1,1,t,two.sided,independent,197.5,,100,100,200,,,,2.12,0.15,4.09,0.03,0.30,0.02,0.58,0.15,0.01,0.28,,,,,"Incidental Anchors (Critcher & Gilovich, 2008)",
37,9,1,Critcher,Critcher.2,"list(P97=c('crit1.1'), P17=c('crit2.1'))","list(Condition=c('P97','P17'))","list(each=c('Condition','between(X,0,100)'))","list(c('Pencil==""Yes, participants completed the Critcher task on pencil and paper"" '))",1,0,1,0,0,0,varfun.Critcher.1,t,"t.test(x = P97, y = P17, conf.level=stat.params$conf.level, var.equal = stat.params$var.equal, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=TRUE, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,US,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Incidental Anchors (Critcher & Gilovich, 2008)",
38,10,1,vanLange,vanLange.1,"list(SVO=c('van.p1.2_1','van.p1.2_2','van.p1.2_3','van.p1.2_4','van.p1.2_5','van.p1.2_6'), Siblings=c('van.p2.1_1_TEXT','van.p2.1_2_TEXT'))","list(Condition=c('SVO','Siblings'), Siblings=c('as.numeric(van.p2.1_1_TEXT)','as.numeric(van.p2.1_2_TEXT)'))","list(sep=rbind(c('Condition','X >= 0'),c('Siblings','between(X,0,20)')))",list(c('all')),1,1,0,1,1,0,varfun.vanLange.1,Z.f,"cor_test_fisherZ(r1=matrix(c(SVO.index,Siblings),ncol=2), r2=NULL, n1=N[1], n2=NULL, conf.level=stat.params$conf.level, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=NA, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,Netherlands,1,1,f,two.sided,independent,1,535,307,229,536,,,,4.82,1.00,29.24,0.01,0.19,0.09,0.47,0.09,0.04,0.23,,,,orig.stat.n1 is best estimate given available info | Symmetric exact CI based on f failed for lower bounds ,"Social Value Orientation (Van Lange et al., 1997)",
39,11,1,Hauser,Hauser.1,"list(SideEffect=c('haus1.1','haus1.1t_1'),GreaterGood=c('haus2.1','haus2.1t_1'))","list(Condition=c('SideEffect','GreaterGood'), Timing=c('haus1.1t_1','haus2.1t_1'), Response=c('Yes','No'))","list(each=rbind(c('Condition','X >= 0'),c('Timing', 'X > 4')))",list(c('all')),1,1,0,1,1,0,varfun.Hauser.1,OR,"fisher.exact(table(Condition,Response))","list(conf.level=.95, var.equal=NA, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,"Various (mainly US, GB and Canada). ",1,1,X2,NA,independent,1,,2646,,2646,,,,1615.96,1462.22,1777.38,0.00,2.50,2.22,2.86,0.78,0.74,0.82,,,,,"Trolley Dilemma 1 (Hauser et al., 2007)",
40,11,1,Hauser,Hauser.2,"list(SideEffect=c('haus1.1','haus1.2','haus1.1t_1'),GreaterGood=c('haus2.1','haus2.2','haus2.1t_1'))","list(Condition=c('SideEffect','GreaterGood'), Experience=c('haus1.2','haus2.2'), Timing=c('haus1.1t_1','haus2.1t_1'), Response=c('Yes','No'))","list(each=rbind(c('Condition','X >= 0'),c('Experience','X==1'),c('Timing > 4')))",list(c('all')),1,0,1,0,0,0,varfun.Hauser.1,OR,"fisher.exact(table(Condition,Response))","list(conf.level=.95, var.equal=NA, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,"Various (mainly US, GB and Canada). ",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Trolley Dilemma 1 (Hauser et al., 2007)",
41,11,1,Hauser,Hauser.3,"list(SideEffect=c('haus1.1','haus1.2','haus1.1t_1'),GreaterGood=c('haus2.1','haus2.2','haus2.1t_1'))","list(Condition=c('SideEffect','GreaterGood'), Experience=c('haus1.2','haus2.2'), Timing=c('haus1.1t_1','haus2.1t_1'), Response=c('Yes','No'))","list(each=rbind(c('Condition','X >= 0'),c('Experience','X==2'),c('Timing > 4')))",list(c('all')),1,0,1,0,0,0,varfun.Hauser.1,OR,"fisher.exact(table(Condition,Response))","list(conf.level=.95, var.equal=NA, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,"Various (mainly US, GB and Canada). ",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Trolley Dilemma 1 (Hauser et al., 2007)",
42,12,1,Anderson,Anderson.1,"list(Low=c('and1.3_1', 'and1.3_2', 'and1.3_3', 'and1.3_4', 'and1.3_5', 'and1.4_1', 'and1.4_2', 'and1.4_3', 'and1.4_4', 'and1.4_5', 'and1.4_6', 'and1.4_7', 'and1.4_8', 'and1.4_9', 'and1.4_10', 'and1.4_11', 'and1.4_12', 'and1.4_13', 'and1.4_14', 'and1.4_15', 'and1.4_16', 'and1.4_17', 'and1.4_18', 'and1.4_19', 'and1.4_20'), High=c('and2.3_1', 'and2.3_2', 'and2.3_3', 'and2.3_4', 'and2.3_5', 'and2.4_1', 'and2.4_2', 'and2.4_3', 'and2.4_4', 'and2.4_5', 'and2.4_6', 'and2.4_7', 'and2.4_8', 'and2.4_9', 'and2.4_10', 'and2.4_11', 'and2.4_12', 'and2.4_13', 'and2.4_14', 'and2.4_15', 'and2.4_16', 'and2.4_17', 'and2.4_18', 'and2.4_19', 'and2.4_20'))","list(Condition=c('Low','High'),Response=c('Positive','Negative'))","list(each=c('Condition', 'between(X,0,100)'))",list(c('all')),1,1,0,1,1,0,varfun.Anderson.1,t,"t.test(SWB ~ Condition, conf.level=stat.params$conf.level, var.equal = stat.params$var.equal, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=TRUE, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,MTurk,1,1,t,two.sided,independent,181,,58,58,116,,,,3.05,1.06,5.03,0.00,0.57,0.20,0.93,0.27,0.10,0.43,,,,,"SMS & Well-Being (Anderson et al., 2012)",
43,13,1,Ross,Ross.1,"list(You=c('ross.s1.2'),Peers=c('ross.s1.1_1_TEXT'))","list(Condition=c('You','Peers'), Peers=c('ross.s1.1_1_TEXT'), Response=c('Sign','Refuse'))","list(sep=rbind(c('Condition','X >= 0'),c('Peers','between(X,0,100)')))",list(c('all')),1,1,0,1,1,0,varfun.Ross.1,t,"t.test(Peers ~ You, conf.level=stat.params$conf.level, var.equal = stat.params$var.equal, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=FALSE, censorNA=TRUE, alternative='two.sided',alpha=.05, within=TRUE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,US,1,1,f,two.sided,independent,1,78,53,27,80,,,,17.70,1.00,93.95,0.00,0.99,0.24,2.29,0.43,0.11,0.73,,,,Symmetric exact CI based on f failed for lower bounds ,"False Consensus 1 (Ross et al., 1977)",
44,14,2,Ross,Ross.2,"list(You=c('ross.s2.2'),Peers=c('ross.s2.1_1_TEXT'))","list(Condition=c('You','Peers'), Peers=c('ross.s2.1_1_TEXT'), Response=c('Pay','Court'))","list(sep=rbind(c('Condition','X >= 0'),c('Peers','between(X,0,100)')))",list(c('all')),1,1,0,1,1,0,varfun.Ross.2,t,"t.test(Peers ~ You, conf.level=stat.params$conf.level, var.equal = stat.params$var.equal, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=FALSE, censorNA=TRUE, alternative='two.sided',alpha=.05, within=TRUE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,US,1,1,f,two.sided,independent,1,78,37,43,80,,,,12.80,1.00,69.33,0.00,0.80,0.22,1.87,0.37,0.11,0.68,,,,Symmetric exact CI based on f failed for lower bounds ,"False Consensus 2 (Ross et al., 1977)",
45,15,2,Giessner,Giessner.1,"list(Long=c('geis1.1','geis.dv_1','geis.dv_2','geis.dv_3','geis.dv_4','geis.dv_5'), Short=c('geis2.1','geis.dv_1','geis.dv_2','geis.dv_3','geis.dv_4','geis.dv_5'))","list(Condition=c('Long','Short'))","list(each=c('Condition','X!=-99'))",list(c('all')),1,1,0,1,1,0,varfun.Giessner.1,t,"t.test(x = Long, y = Short, conf.level=stat.params$conf.level, var.equal = stat.params$var.equal, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=TRUE, censorNA=FALSE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,Netherlands,1,1,t,two.sided,independent,62,,32,32,64,,,,2.20,0.19,4.19,0.03,0.55,0.05,1.05,0.27,0.02,0.47,,,,,"Position & Power (Giessner & Schubert, 2007)",
46,16,2,Tversky,Tversky.1,"list(Cheap=c('tver2.1'),Expensive=c('tver1.1'))","list(Condition=c('Cheap','Expensive'), Response=c('Yes','No'))","list(each=c('Condition','X > 0'))",list(c('all')),1,1,0,1,1,0,varfun.Tversky.1,OR,"fisher.exact(table(Condition,Response))","list(conf.level=.95, var.equal=NA, censorNA=TRUE, alternative='greater',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,US,1,1,OR,two.sided,independent,,,93,88,181,,,,7.15,3.66,13.96,0.00,1.08,0.71,1.45,0.48,0.34,0.59,,,,,"Framing (Tversky & Kahneman, 1981)",
47,17,2,Hauser,Hauser.4,"list(SideEffect=c('haus4.1','haus4.1t_3'),GreaterGood=c('haus3.1','haus3.1t_3'))","list(Condition=c('SideEffect','GreaterGood'), Timing=c('haus4.1t_3','haus3.1t_3'), Response=c('Yes','No'))","list(each=rbind(c('Condition','X >= 0'),c('Timing > 4')))",list(c('all')),1,1,0,1,1,0,varfun.Hauser.1,OR,"fisher.exact(table(Condition,Response))","list(conf.level=.95, var.equal=NA, censorNA=TRUE, alternative='greater',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,"Various (mainly US, GB and Canada). ",1,1,X2,NA,independent,1,,2612,,2612,,,,72.35,42.85,109.53,0.00,0.34,0.26,0.42,0.17,0.13,0.20,,,,,"Trolley Dilemma 2 (Hauser et al., 2007)",
48,17,2,Hauser,Hauser.5,"list(SideEffect=c('haus4.1','haus4.2','haus4.1t_3'),GreaterGood=c('haus3.1','haus3.2','haus3.1t_3'))","list(Condition=c('SideEffect','GreaterGood'), Experience=c('haus4.2','haus3.2'), Timing=c('haus4.1t_3','haus3.1t_3'), Response=c('Yes','No'))","list(each=rbind(c('Condition','X >= 0'),c('Experience','X==1'),c('Timing > 4')))",list(c('all')),1,0,1,0,0,0,varfun.Hauser.1,OR,"fisher.exact(table(Condition,Response))","list(conf.level=.95, var.equal=NA, censorNA=TRUE, alternative='greater',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,"Various (mainly US, GB and Canada). ",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Trolley Dilemma 2 (Hauser et al., 2007)",
49,17,2,Hauser,Hauser.6,"list(SideEffect=c('haus4.1','haus4.2','haus4.1t_3'),GreaterGood=c('haus3.1','haus3.2','haus3.1t_3'))","list(Condition=c('SideEffect','GreaterGood'), Experience=c('haus4.2','haus3.2'), Timing=c('haus4.1t_3','haus3.1t_3'), Response=c('Yes','No'))","list(each=rbind(c('Condition','X >= 0'),c('Experience','X==2'),c('Timing > 4')))",list(c('all')),1,0,1,0,0,0,varfun.Hauser.1,OR,"fisher.exact(table(Condition,Response))","list(conf.level=.95, var.equal=NA, censorNA=TRUE, alternative='greater',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,"Various (mainly US, GB and Canada). ",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Trolley Dilemma 2 (Hauser et al., 2007)",
50,18,2,Risen,Risen.1,"list(Unprepared=c('rise1.3'),Prepared=c('rise2.3'))","list(Condition=c('Unprepared','Prepared'))","list(each=c('Condition','X > 0'))","list(c('SubjectPool == ""Yes"" '))",1,1,0,0,0,0,varfun.Risen.1,t,"t.test(x = Unprepared, y = Prepared, conf.level=stat.params$conf.level, var.equal = stat.params$var.equal, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=TRUE, censorNA=FALSE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,US,1,0,t,two.sided,independent,116,,60,60,120,,,,2.15,0.17,4.12,0.03,0.39,0.03,0.75,0.19,0.02,0.35,,,,,"Tempting Fate (Risen & Gilovich, 2008)",
51,18,2,Risen,Risen.2,"list(Unprepared=c('rise1.3','sex'),Prepared=c('rise2.3','sex'))","list(Condition=c('Unprepared','Prepared'), Sex=c('sex'))","list(each=rbind(c('Condition','X > 0'),c('Sex','X < 3')))","list(c('SubjectPool == ""Yes"" '))",1,0,1,0,0,0,varfun.Risen.2,f,anova(lm(Likelihood ~ Condition*Gender)),"list(conf.level=.95, var.equal=NA, censorNA=TRUE, alternative='greater',alpha=.05, within=FALSE)","stat.test[3,'F value']","c(stat.test[3,'Df'], stat.test[4,'Df'])","stat.test[3,'Pr(>F)']",US,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Tempting Fate (Risen & Gilovich, 2008)",
52,18,2,Risen,Risen.3,"list(Unprepared=c('rise1.3'),Prepared=c('rise2.3'))","list(Condition=c('Unprepared','Prepared'))","list(each=c('Condition','X > 0'))",list(c('all')),1,0,1,1,1,0,varfun.Risen.1,t,"t.test(x = Unprepared, y = Prepared, conf.level=stat.params$conf.level, var.equal = stat.params$var.equal, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=TRUE, censorNA=FALSE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,US,1,1,t,two.sided,independent,116,,60,60,120,,,,2.15,0.17,4.12,0.03,0.39,0.03,0.75,0.19,0.02,0.35,,,,,"Tempting Fate (Risen & Gilovich, 2008)",
53,19,2,Savani,Savani.1a,"list(Interpersonal=c('sava1.4', 'sava1.5', 'sava1.9', 'sava1.10', 'sava1.15', 'sava1.16' , 'sava1.21', 'sava1.22', 'sava1.27', 'sava1.28', 'sava1.33', 'sava1.34', 'sava1.38', 'sava1.39', 'sava1.43', 'sava1.44'),Personal=c('sava2.4', 'sava2.5', 'sava2.9', 'sava2.10', 'sava2.15', 'sava2.16' , 'sava2.21', 'sava2.22', 'sava2.27', 'sava2.28', 'sava2.33', 'sava2.34', 'sava2.38', 'sava2.39', 'sava2.43', 'sava2.44'))","list(Condition=c('Interpersonal','Personal'),Response=c('No Choice','Choice'),Importance=c('Importance'))","list(each=c('Condition','X > 0'))","list(c('SubjectPool == ""Yes"" '))",1,0,1,0,0,0,varfun.Savani.1,lm.OR,"summary(lme4::glmer(Response ~ Importance*Condition + (1|uID/trialID), family = binomial('logit'), nAGQ=0))","list(conf.level=.95, var.equal=NA, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)","stat.test$coefficients[3,""Estimate""]",stat.test$devcomp$dims['nmp'],"stat.test$coefficients[3,""Pr(>|z|)""]",US & India,10,0,lm.OR,two.sided,independent,101,,51,52,103,,,,0.88,0.34,1.43,0.48,0.49,0.19,0.79,0.24,0.04,0.41,,,,,"Actions are Choices (Savani et al., 2010)",
54,19,2,Savani,Savani.1b,"list(Interpersonal=c('sava1.4', 'sava1.5', 'sava1.9', 'sava1.10', 'sava1.15', 'sava1.16' , 'sava1.21', 'sava1.22', 'sava1.27', 'sava1.28', 'sava1.33', 'sava1.34', 'sava1.38', 'sava1.39', 'sava1.43', 'sava1.44'),Personal=c('sava2.4', 'sava2.5', 'sava2.9', 'sava2.10', 'sava2.15', 'sava2.16' , 'sava2.21', 'sava2.22', 'sava2.27', 'sava2.28', 'sava2.33', 'sava2.34', 'sava2.38', 'sava2.39', 'sava2.43', 'sava2.44'))","list(Condition=c('Interpersonal','Personal'),Response=c('No Choice','Choice'),Importance=c('Importance'))","list(each=c('Condition','X > 0'))","list(c('SubjectPool == ""Yes"" '))",1,0,1,0,0,0,varfun.Savani.1,lm.OR,"summary(lme4::glmer(Response ~ Importance*Condition + (1|uID/trialID), family = binomial('logit'), nAGQ=0))","list(conf.level=.95, var.equal=NA, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)","stat.test$coefficients[4,""Estimate""]",stat.test$devcomp$dims['nmp'],"stat.test$coefficients[4,""Pr(>|z|)""]",US & India,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Actions are Choices (Savani et al., 2010)",
55,19,2,Savani,Savani.2a,"list(Interpersonal=c('sava1.4', 'sava1.5', 'sava1.9', 'sava1.10', 'sava1.15', 'sava1.16' , 'sava1.21', 'sava1.22', 'sava1.27', 'sava1.28', 'sava1.33', 'sava1.34', 'sava1.38', 'sava1.39', 'sava1.43', 'sava1.44'),Personal=c('sava2.4', 'sava2.5', 'sava2.9', 'sava2.10', 'sava2.15', 'sava2.16' , 'sava2.21', 'sava2.22', 'sava2.27', 'sava2.28', 'sava2.33', 'sava2.34', 'sava2.38', 'sava2.39', 'sava2.43', 'sava2.44'))","list(Condition=c('Interpersonal','Personal'),Response=c('No Choice','Choice'),Importance=c('Importance'))","list(each=c('Condition','X > 0'))","list(c('SubjectPool == ""Yes"" & Country == ""India"" '))",1,1,0,0,0,0,varfun.Savani.1,lm.OR,"summary(lme4::glmer(Response ~ Importance*Condition + (1|uID/trialID), family = binomial('logit'), nAGQ=0))","list(conf.level=.95, var.equal=NA, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)","stat.test$coefficients[3,""Estimate""]",stat.test$devcomp$dims['nmp'],"stat.test$coefficients[3,""Pr(>|z|)""]",US,1,1,t,two.sided,independent,88,,45,45,90,,,,0.39,-1.57,2.35,0.65,0.08,-0.33,0.50,0.04,-0.17,0.24,,,,,"Actions are Choices (Savani et al., 2010)",
56,19,2,Savani,Savani.2b,"list(Interpersonal=c('sava1.4', 'sava1.5', 'sava1.9', 'sava1.10', 'sava1.15', 'sava1.16' , 'sava1.21', 'sava1.22', 'sava1.27', 'sava1.28', 'sava1.33', 'sava1.34', 'sava1.38', 'sava1.39', 'sava1.43', 'sava1.44'),Personal=c('sava2.4', 'sava2.5', 'sava2.9', 'sava2.10', 'sava2.15', 'sava2.16' , 'sava2.21', 'sava2.22', 'sava2.27', 'sava2.28', 'sava2.33', 'sava2.34', 'sava2.38', 'sava2.39', 'sava2.43', 'sava2.44'))","list(Condition=c('Interpersonal','Personal'),Response=c('No Choice','Choice'),Importance=c('Importance'))","list(each=c('Condition','X > 0'))","list(c('SubjectPool == ""Yes"" & Country == ""India"" '))",1,1,0,0,0,0,varfun.Savani.1,lm.OR,"summary(lme4::glmer(Response ~ Importance*Condition + (1|uID/trialID), family = binomial('logit'), nAGQ=0))","list(conf.level=.95, var.equal=NA, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)","stat.test$coefficients[4,""Estimate""]",stat.test$devcomp$dims['nmp'],"stat.test$coefficients[4,""Pr(>|z|)""]",India,0,1,t,two.sided,independent,126,,64,64,128,,,,-3.69,-5.70,-1.67,0.00,-0.65,-1.01,-0.30,-0.31,-0.45,-0.15,,,,,"Actions are Choices (Savani et al., 2010)",
57,19,2,Savani,Savani.3a,"list(Interpersonal=c('sava1.4', 'sava1.5', 'sava1.9', 'sava1.10', 'sava1.15', 'sava1.16' , 'sava1.21', 'sava1.22', 'sava1.27', 'sava1.28', 'sava1.33', 'sava1.34', 'sava1.38', 'sava1.39', 'sava1.43', 'sava1.44'),Personal=c('sava2.4', 'sava2.5', 'sava2.9', 'sava2.10', 'sava2.15', 'sava2.16' , 'sava2.21', 'sava2.22', 'sava2.27', 'sava2.28', 'sava2.33', 'sava2.34', 'sava2.38', 'sava2.39', 'sava2.43', 'sava2.44'))","list(Condition=c('Interpersonal','Personal'),Response=c('No Choice','Choice'),Importance=c('Importance'))","list(each=c('Condition','X > 0'))",list(c('all')),1,0,1,1,1,1,varfun.Savani.1,lm.OR,"summary(lme4::glmer(Response ~ Importance*Condition + (1|uID/trialID), family = binomial('logit'), nAGQ=0))","list(conf.level=.95, var.equal=NA, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)","stat.test$coefficients[3,""Estimate""]",stat.test$devcomp$dims['nmp'],"stat.test$coefficients[3,""Pr(>|z|)""]",US & India,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Actions are Choices (Savani et al., 2010)",
58,19,2,Savani,Savani.3b,"list(Interpersonal=c('sava1.4', 'sava1.5', 'sava1.9', 'sava1.10', 'sava1.15', 'sava1.16' , 'sava1.21', 'sava1.22', 'sava1.27', 'sava1.28', 'sava1.33', 'sava1.34', 'sava1.38', 'sava1.39', 'sava1.43', 'sava1.44'),Personal=c('sava2.4', 'sava2.5', 'sava2.9', 'sava2.10', 'sava2.15', 'sava2.16' , 'sava2.21', 'sava2.22', 'sava2.27', 'sava2.28', 'sava2.33', 'sava2.34', 'sava2.38', 'sava2.39', 'sava2.43', 'sava2.44'))","list(Condition=c('Interpersonal','Personal'),Response=c('No Choice','Choice'),Importance=c('Importance'))","list(each=c('Condition','X > 0'))",list(c('all')),1,0,1,0,0,0,varfun.Savani.1,lm.OR,"summary(lme4::glmer(Response ~ Importance*Condition + (1|uID/trialID), family = binomial('logit'), nAGQ=0))","list(conf.level=.95, var.equal=NA, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)","stat.test$coefficients[4,""Estimate""]",stat.test$devcomp$dims['nmp'],"stat.test$coefficients[4,""Pr(>|z|)""]",US & India,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Actions are Choices (Savani et al., 2010)",
59,20,2,Norenzayan,Norenzayan.1,"list(Belong=c('nore1.1', 'nore1.2', 'nore1.3', 'nore1.4', 'nore1.5', 'nore1.6', 'nore1.7', 'nore1.8', 'nore1.9', 'nore1.10','nore1.11','nore1.12','nore1.13','nore1.14','nore1.15','nore1.16','nore1.17','nore1.18','nore1.19','nore1.20'), Similar=c('nore2.1', 'nore2.2', 'nore2.3', 'nore2.4', 'nore2.5', 'nore2.6', 'nore2.7', 'nore2.8', 'nore2.9', 'nore2.10','nore2.11','nore2.12','nore2.13','nore2.14','nore2.15','nore2.16','nore2.17','nore2.18','nore2.19','nore2.20'))","list(Condition=c('Belong','Similar'))","list(each=c('Condition','X > 0'))",list(c('all')),1,1,0,1,1,1,varfun.Norenzayan.1,t,"t.test(x = Belong, y = Similar, conf.level=stat.params$conf.level, var.equal = stat.params$var.equal, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=TRUE, censorNA=FALSE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,US,1,1,OR,,independent,1,,700,380,1080,1.00,,,1.00,0.76,1.31,,0.00,-0.15,0.15,0.00,-0.07,0.07,,,,,"Intuitive Reasoning (Norenzayan et al., 2002)",
60,20,2,Norenzayan,Norenzayan.2,"list(Belong=c('nore1.1', 'nore1.2', 'nore1.3', 'nore1.4', 'nore1.5', 'nore1.6', 'nore1.7', 'nore1.8', 'nore1.9', 'nore1.10','nore1.11','nore1.12','nore1.13','nore1.14','nore1.15','nore1.16','nore1.17','nore1.18','nore1.19','nore1.20'), Similar=c('nore2.1', 'nore2.2', 'nore2.3', 'nore2.4', 'nore2.5', 'nore2.6', 'nore2.7', 'nore2.8', 'nore2.9', 'nore2.10','nore2.11','nore2.12','nore2.13','nore2.14','nore2.15','nore2.16','nore2.17','nore2.18','nore2.19','nore2.20'))","list(Condition=c('Belong','Similar'), Order=c('noreBEFOREgati','noreAFTERgati'))","list(each=c('Condition','X > 0'))",list(c('all')),1,0,1,0,0,0,varfun.Norenzayan.2,lm.t,summary(lm(Response ~ Condition * Order)),"list(conf.level=.95, var.equal=NA, censorNA=FALSE, alternative='two.sided',alpha=.05, within=FALSE)","stat.test$coefficients[4,3]",stat.test$fstatistic[['numdf']] + stat.test$fstatistic[['dendf']],"stat.test$coefficients[4,4]",East Asia,0,1,OR,,independent,1,,720,380,1100,3.35,,,3.35,2.56,4.37,,0.67,0.52,0.81,0.30,0.24,0.36,,,,,"Intuitive Reasoning (Norenzayan et al., 2002)",
61,21,2,Hsee,Hsee.1,"list(Scarf=c('hsee1.1'),Coat=c('hsee2.1'))","list(Condition=c('Scarf','Coat'))","list(each=c('Condition','X > 0'))",list(c('all')),1,1,0,1,1,0,varfun.Hsee.1,t,"t.test(x = Scarf, y = Coat, conf.level=stat.params$conf.level, var.equal = stat.params$var.equal, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=TRUE, censorNA=FALSE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,US,1,1,t,two.sided,independent,82,,41,42,83,,,,3.13,1.10,5.14,0.00,0.69,0.24,1.13,0.33,0.12,0.50,,,,,"Less is Better (Hsee, 1998)",
